,Title,Published_date,Views,Likes,Comments,Month
340,Natural Light & Ventilation are Important for Your Well-being,2023-06-27,1188,75,2,Jun
341,Regularly Clean the Leaves of Indoor Plants,2023-06-26,15851,931,13,Jun
342,The Impact of My Maternal Grandmother on My Life,2023-06-25,929,63,16,Jun
343,Memories of My College Life,2023-06-24,756,59,6,Jun
344,Qualities that Women Should Look for in a Man,2023-06-23,4048,259,30,Jun
345,3 Best Flowering Trees to Plant,2023-06-22,19563,586,41,Jun
346,Declutter and Organize Your Space,2023-06-21,796,62,1,Jun
347,Don't make social media the center point of everything,2023-06-20,1029,69,7,Jun
348,A reason why people are not successful in life,2023-06-19,7787,716,26,Jun
349,Keep things simple when working in the Environment Sector,2023-06-18,1227,91,6,Jun
350,Home Gardening | Ep 6 - Best Fruit Plants to Grow at Home,2023-06-16,17022,576,28,Jun
351,Home Gardening | Ep 5 - Best Medicinal Plants For Your Home,2023-06-15,16447,779,33,Jun
352,Home Gardening | Ep 4 - Easy-to-use Tools for Home Gardening,2023-06-13,4471,265,11,Jun
353,My Thoughts on ChatGPT.,2023-06-12,4506,264,4,Jun
354,Parenting in Modern Times,2023-06-11,999,64,3,Jun
355,How to Remove Clutter & Clean Your Spaces,2023-06-10,1265,81,10,Jun
356,Life should be like a Rolls-Royce Car,2023-06-09,3262,301,10,Jun
357,Stop Encroachment on the Existing Roads,2023-06-08,1230,91,10,Jun
358,Why Tree Plantation Projects Carried Out by Governments Fail?,2023-06-08,23379,2064,42,Jun
359,Climate Change Is An Irreversible Process.,2023-06-06,75358,5534,221,Jun
360,A Special Message On This World Environment Day,2023-06-05,1764,160,20,Jun
361,Plant trees on the central dividers of the roads.,2023-06-03,6981,445,10,Jun
362,Amaltas - The State Tree of Delhi.,2023-06-02,6051,337,15,Jun
363,What We Need to Learn from European Countries,2023-06-02,5146,327,22,Jun
364,The Benefits of Planting Hibiscus,2023-06-01,7059,450,8,Jun
365,Why are rituals important in our life?,2023-05-31,1113,56,4,May
366,How to Protect the Planet Earth,2023-05-30,5390,532,14,May
367,I Love to Share My Knowledge and Experiences,2023-05-29,4349,453,16,May
368,The Reason I Always Remain Happy,2023-05-28,3087,264,5,May
369,3 Best Flowering Trees to Plant in Parks,2023-05-27,65232,4108,39,May
370,Why You Should Not Prune The Plants?,2023-05-27,11944,625,12,May
371,The Best Trees to Plant in Delhi,2023-05-26,5245,367,12,May
372,How To Save Water While Watering Your Plants?,2023-05-25,11057,735,9,May
373,An Evergreen Plant - Putranjiva roxburghii.,2023-05-24,10360,365,6,May
374,Home Gardening | Ep 3 - How to Sow Seeds at Home,2023-05-24,4097,228,12,May
375,The Thing That Motivates Me The Most,2023-05-22,9382,1147,23,May
376,A Special Place where I get the Ideas,2023-05-21,3405,264,3,May
377,What kind of books you should read?,2023-05-19,2751,203,4,May
378,Home Gardening | Ep 2 - How to Grow Plants Using Stem Cutting Method | Plant Propagation Method,2023-05-18,5754,286,17,May
379,My Wish to Work on Issues Related to Water,2023-05-18,6781,710,28,May
380,A Forest is the Biggest Classroom & Teacher,2023-05-17,21291,1900,27,May
381,Don't Watch a Lot of Motivational Videos,2023-05-16,4211,430,6,May
382,Total Number of Peepal Trees Planted in Delhi,2023-05-15,5372,529,20,May
383,Strengthen the Agricultural Economy of India,2023-05-14,4977,429,11,May
384,Fallen Leaves from the Trees Improve the Soil Fertility,2023-05-13,37453,4258,86,May
385,Our Simple Plantation Strategy,2023-05-13,3453,357,8,May
386,Home Gardening | Ep 1 - How to Extract Plant Roots & Nurture them at Home,2023-05-12,9200,441,23,May
387,The Best Indoor Plants for Your Home,2023-05-12,6832,409,4,May
388,Focus on conservation of forest in India.,2023-05-11,3359,305,10,May
389,"Make your terrace garden green, not ornamental.",2023-05-10,158221,16187,145,May
390,Don't force your children into marriage.,2023-05-09,4311,361,9,May
391,Create your own mini forest at home by growing more plants.,2023-05-09,11166,820,20,May
392,Why youngsters have low observation?,2023-05-08,13699,1533,33,May
393,"Man-made Ponds, Aquatic Plants and Water Filtration.",2023-05-05,776917,45368,222,May
394,What is the cause of most relationship problems?,2023-05-05,3120,240,7,May
395,The Acts of Humans are a Reason to Worry About,2023-05-04,23804,2052,72,May
396,What are my thoughts on heaven?,2023-05-03,1799,143,5,May
397,My life's purpose is to plant trees & connect with nature.,2023-05-03,13022,1239,37,May
398,The best way to water your plants in terrace gardens.,2023-05-02,3971,211,4,May
399,Why are the leaves of some trees red?,2023-05-02,6662,389,8,May
400,Wear khadi clothes and a gamcha in summer to stay cool.,2023-04-28,14061,784,10,Apr
401,@OSHOInternational was a great environmentalist of his time,2023-04-28,6004,531,14,Apr
402,Why to grow Aloe Vera in your gardens?,2023-04-27,12973,797,10,Apr
403,Seeds required for plantation at our sites.,2023-04-27,1527,94,10,Apr
404,"If everyone has to die, why hold on to our problems?",2023-04-26,2390,271,8,Apr
405,Watering the Cactus Plant (Succulents),2023-04-26,1560,93,0,Apr
406,Stop thinking about the past and move ahead.,2023-04-26,1144,78,0,Apr
407,Remember to wear a mask to counter the negative effects of vehicular pollution.,2023-04-25,930,48,0,Apr
408,"Instead of constantly pruning plants and keeping them small, let them allow to grow into big trees",2023-04-24,3445,245,9,Apr
409,Keep your regrets and complaints aside,2023-04-22,1380,155,1,Apr
410,"Marriages are not so important, Your Happiness is.",2023-04-21,1425,116,0,Apr
411,Divide your tree planting work into different steps,2023-04-20,27086,2056,28,Apr
412,My Love for Tea is till the Sugar & back.,2023-04-20,3575,213,4,Apr
413,"Marriage is not compulsory, your happiness is",2023-04-18,7069,428,52,Apr
414,"An urban forest of 70,000 plants in the the making in India",2023-04-18,5908,552,29,Apr
415,Why youngsters should take their health more seriously?,2023-04-16,1204,71,4,Apr
416,Why earthen pots are best for composting,2023-04-14,2239,143,4,Apr
417,"Paper cups have a coating of wax, and can be harmful when consumed with hot beverages",2023-04-12,12495,874,16,Apr
418,Treat your gardening tools with respect and reverence,2023-04-10,16727,883,19,Apr
419,How to differentiate between leaves of Peepal (Ficus religiosa) and Poplar (Populus),2023-04-08,14944,423,8,Apr
420,The benefits of planting Gulmohar,2023-04-06,249820,17233,268,Apr
421,Investing in open air gyms can lead to better access to people who cannot afford to go to gyms,2023-03-31,5293,384,8,Mar
422,Plant trees wherever it is practical to plant them,2023-03-30,34820,2169,44,Mar
423,This is how you can create more greenery in areas where trees have already been planted,2023-03-28,3614,240,3,Mar
424,Why you terrace and rooftop gardens should be insect friendly,2023-03-26,3871,290,2,Mar
425,Never give up on old friendships,2023-03-25,1667,150,2,Mar
426,How forest tourism can help conserve forests | The Beatles Ashram in Rishikesh,2023-03-24,2318,138,12,Mar
427,Technology is not the solution to all problems,2023-03-22,992,82,4,Mar
428,Why roads and highways should not be constructed in the middle of a forest,2023-03-20,2614,182,10,Mar
429,The benefits of digging water ponds,2023-03-18,5491,302,12,Mar
430,"Humans can only plant saplings, but not create forests",2023-03-16,2382,180,18,Mar
431,Why we don't plant mango trees along roadsides,2023-03-14,10756,438,15,Mar
432,Reduce your individual carbon footprint,2023-03-12,821,74,7,Mar
433,Human health should be the primary focus of our urban planning and policy making,2023-03-11,1775,153,6,Mar
434,Why we should plant flowering trees?,2023-03-10,2914,147,7,Mar
435,The benefits of planting Ficus benjamina,2023-03-08,21126,397,29,Mar
436,How to choose which places to travel to?,2023-03-06,665,46,4,Mar
437,"We are uncomfortable talking about intimacy, but we can sing about it",2023-03-04,1611,88,2,Mar
438,"3 home based hobbies you should learn - cooking, reading, gardening",2023-03-03,2479,256,5,Mar
439,Never give up on your goals,2023-03-01,1623,130,4,Mar
440,Don't uproot trees to plant flowers,2023-02-28,2944,191,5,Feb
441,Make your time on the Earth pleasant,2023-02-27,1316,95,1,Feb
442,Plant trees for the Nation,2023-02-26,1307,98,12,Feb
443,Are there ghosts on the Peepal tree?,2023-02-25,38787,3206,76,Feb
444,I wear whatever people gift me,2023-02-24,584,45,3,Feb
445,Don't use DAP and urea as manure for your soil and plants,2023-02-23,62553,2035,114,Feb
446,The different ways in which you can contribute to the environment,2023-02-22,862,78,3,Feb
447,The environmentalists in the Delhi NCR region,2023-02-21,793,47,2,Feb
448,"Use soil under old trees, instead of buying from nurseries",2023-02-20,1048,66,5,Feb
449,Why the tragedy in Joshimath was bound to happen,2023-02-19,699,59,4,Feb
450,Know when to talk and when to stay quiet,2023-02-19,1409,79,3,Feb
451,Plant trees where they belong,2023-02-17,2489,181,2,Feb
452,Use jute to protect your trees from damage,2023-02-15,2916,189,2,Feb
453,"If the world will end one day, why should we work?",2023-02-13,866,72,6,Feb
454,"Instead of focusing on garden pots, focus on the health of your plants",2023-02-11,1622,95,2,Feb
455,The 3 realizations of my life,2023-02-09,5569,412,25,Feb
456,Use metallic or glass bottles to reduce plastic,2023-02-08,1610,102,4,Feb
457,The best trees for Agroforestry,2023-02-07,6525,194,11,Feb
458,Don't expect people to praise your work,2023-02-05,760,69,6,Feb
459,Cycling can decrease your carbon footprint,2023-01-31,635,52,10,Jan
460,The importance of the Peepal tree,2023-01-29,3950,134,13,Jan
461,Why we need to preserve the hill stations and mountains of India?,2023-01-27,532,35,4,Jan
462,Peepal Baba 4x4 tree planting method,2023-01-25,2776,108,3,Jan
463,No plants created by Nature are 'useless',2023-01-23,695,58,10,Jan
464,The root system of the Peepal tree,2023-01-21,2076,69,2,Jan
465,A simple technique to transform your soil,2023-01-19,1296,104,2,Jan
466,Don't make divorce into a business deal,2023-01-18,500,29,6,Jan
467,Increase your sense of belongingness and responsibility,2023-01-17,471,37,6,Jan
468,What is Peepal Baba's religion?,2023-01-15,1395,110,14,Jan
469,Our 4x4 tree planting methodology | @givemetreestrust,2023-01-14,60081,3906,32,Jan
470,How we can plant trees along roadsides,2023-01-12,5297,335,6,Jan
471,What can solve the issue of pollution in Delhi?,2023-01-11,703,37,2,Jan
472,"People will sing about intimacy, but they will not talk about it",2023-01-10,1183,89,2,Jan
473,Rest in peace while being alive,2023-01-08,1375,96,7,Jan
474,Sickle - one of the best tools for gardening,2023-01-07,3914,209,8,Jan
475,"Instead of over pruning, let plants become matured trees",2023-01-05,2786,182,3,Jan
476,Talk and walk,2023-01-03,2104,193,5,Jan
477,This is how you can plant trees along roadsides,2023-01-01,7086,381,11,Jan
478,Greenery is must for an Ashram,2022-12-31,1487,136,3,Dec
479,"Why you should do gardening yourself, instead of hiring gardeners",2022-12-30,872,89,3,Dec
480,Smile and move on,2022-12-29,791,75,3,Dec
481,Don't try to save the planet,2022-12-28,1303,127,8,Dec
482,The solution to boredom,2022-12-26,672,57,3,Dec
483,Try these simple gardening hacks,2022-12-24,1473,116,4,Dec
484,The famous Peepal tree at Assi ghat in Banaras,2022-12-23,2850,160,4,Dec
485,Be humble and gentle while teaching,2022-12-22,393,29,2,Dec
486,Nature can take care of itself,2022-12-21,1340,121,1,Dec
487,How to decide which tree species to plant on a piece of land?,2022-12-20,883,46,8,Dec
488,Pigeons droppings are acidic,2022-12-19,2748,129,3,Dec
489,Let people say whatever they want to,2022-12-18,562,51,8,Dec
490,Can plants grow by throwing seed balls?,2022-12-16,2520,116,8,Dec
491,We are the environment,2022-12-14,416,35,3,Dec
492,Which areas can new organizations and NGOs work on?,2022-12-12,1077,49,2,Dec
493,The Peepal tree holds a very important place in Indian culture and spirituality,2022-12-11,2719,219,0,Dec
494,How walking can make you a wiser person,2022-12-10,1093,93,2,Dec
495,Nature's miracle,2022-12-09,2465,200,7,Dec
496,Every city should have these 2 zones,2022-12-08,448,42,4,Dec
497,"Gardening should be done for happiness, not to create more stress",2022-12-06,774,72,11,Dec
498,How being lazy can be very harmful to us,2022-12-04,897,58,3,Dec
499,"Speak up, but politely",2022-12-02,542,40,4,Dec
500,"Plant flowers, if you can't plant trees",2022-11-30,1839,146,2,Nov
501,Try this to keep your Tulsi plant healthy,2022-11-29,30622,1261,18,Nov
502,Let birds eat their natural food,2022-11-28,633,46,2,Nov
503,How to protect yourself from smog and pollution?,2022-11-26,660,42,3,Nov
504,The whole world is one family,2022-11-24,512,41,6,Nov
505,Using coconut shell as a serious gardening tool,2022-11-22,682,41,3,Nov
506,Let your kids walk,2022-11-18,3131,336,12,Nov
507,Keep this in mind while considering to settle abroad,2022-11-17,733,57,6,Nov
508,Alstonia is not a Devil's tree,2022-11-15,2039,81,13,Nov
509,"Even after retirement, keep yourself engaged in some work",2022-11-13,546,39,4,Nov
510,Don't select plants based on only their oxygen generating capacity,2022-11-11,734,59,2,Nov
511,"Why we should keep water for birds, but not food",2022-11-10,5795,518,8,Nov
512,"To understand life, understand your DNA and the DNA of the universe",2022-11-09,446,27,7,Nov
513,Gardens should be insect friendly,2022-11-07,75800,5310,49,Nov
514,@givemetreestrust plantation site in the Aravallis region in Delhi,2022-11-05,13350,185,2,Nov
515,Don't worry about the natural world.,2022-11-03,2117,177,5,Nov
516,Throwing away food to feed birds and animals does not earn you any virtue,2022-11-02,52584,3638,79,Nov
517,Don't create noise pollution,2022-11-01,2681,253,10,Nov
518,Why something needs to be done to control India's population,2022-10-30,792,54,16,Oct
519,The prison culture in India breeds more criminals,2022-10-30,1216,88,1,Oct
520,The real meaning of democracy,2022-10-29,355,23,2,Oct
521,2 types of employees you should avoid hiring,2022-10-29,573,38,2,Oct
522,The importance of planting flowers and flowering trees,2022-10-28,811,54,6,Oct
523,The importance of giving manure to your plants,2022-10-27,150762,8297,54,Oct
524,Which is better   working during the day or at night?,2022-10-26,672,42,4,Oct
525,Plant the native trees at any plantation site,2022-10-25,52150,3385,73,Oct
526,What can help remove the past impressions on your mind?,2022-10-24,1171,73,10,Oct
527,Duck with her ducklings in Perth,2022-10-24,2096,103,6,Oct
528,Be gentle with your body,2022-10-23,3417,348,7,Oct
529,"Going to bars, restaurants and concerts is distraction, not relaxation",2022-10-22,618,41,8,Oct
530,Don't keep sitting inside your room when it is raining,2022-10-22,2002,258,10,Oct
531,Divorce is not needed in all cases,2022-10-21,11749,818,21,Oct
532,Don't make marriage into a business transaction,2022-10-20,1265,95,3,Oct
533,"Not all trees grow in soil. Some grow 40 meters on trees, above the soil",2022-10-19,2543,203,5,Oct
534,Plant Gamhar tree for Agroforestry and commercial plantations,2022-10-18,1957,71,5,Oct
535,Oldest living beings are trees,2022-10-17,4562,415,6,Oct
536,Planting trees is not the only way to serve Nature,2022-10-16,962,76,4,Oct
537,What we can learn from the Russia Ukraine war,2022-10-16,5231,519,24,Oct
538,Thieves who read Ruskin Bond books have a great taste in books,2022-10-15,61010,4502,90,Oct
539,Be careful of toxicity in relationships,2022-10-14,679,55,2,Oct
540,Plant big trees along with small plants on road crossings,2022-10-13,4292,327,2,Oct
541,"Let go, or get dragged",2022-10-12,631,56,4,Oct
542,Natural structures,2022-10-11,6320,709,18,Oct
543,Why pretending about your life is a big disease,2022-10-10,763,69,5,Oct
544,Why always staying indoors is not good for your health,2022-10-09,2411,102,11,Oct
545,A miracle of nature,2022-10-09,2259,181,2,Oct
546,Why hibiscus (gudhal) is called shoe flower,2022-10-08,7907,427,17,Oct
547,"Anything serious is political, anything fun is spiritual",2022-10-07,521,37,8,Oct
548,Investing in education is the key to the growth and development of a nation,2022-10-06,2092,208,1,Oct
549,Make things better around you,2022-10-05,5257,612,17,Oct
550,People pleasing - one of the biggest causes of stress,2022-10-04,856,78,5,Oct
551,Invest in travelling,2022-10-03,2323,288,5,Oct
552,There should be a micro biodiversity reserve in every residential colony,2022-10-02,1866,187,4,Oct
553,Don't lead a copy paste lifestyle,2022-10-01,942,94,11,Oct
554,Key to a happy life is gratitude,2022-09-30,539,57,4,Sep
555,"Read the Upanishads yourself, instead of relying on WhatsApp",2022-09-27,806,58,14,Sep
556,Education is the master key for the growth of a nation,2022-09-26,6314,636,20,Sep
557,"If other people copy your work, it is a good thing",2022-09-25,620,64,8,Sep
558,The benefits of the Mahua tree,2022-09-24,9033,203,24,Sep
559,Peepal Baba's first campaign in the 1980's to plant trees,2022-09-23,561,50,5,Sep
560,Make a garden corner in your balcony,2022-09-21,937,59,4,Sep
561,Not working is a form of depression,2022-09-20,954,67,2,Sep
562,How does Peepal Baba take out time for himself?,2022-09-19,531,52,5,Sep
563,How to use grass shavings in tree plantation?,2022-09-18,742,65,2,Sep
564,"Be friendly with yourself, and you can be friendly with the whole world",2022-09-17,628,58,8,Sep
565,Don t sit idle at home post retirement,2022-09-16,1305,82,1,Sep
566,Why is it important to make your children travel?,2022-09-15,857,73,4,Sep
567,"Stay outdoors, stay healthy",2022-09-14,1831,113,7,Sep
568,The importance of freedom in relationships,2022-09-13,586,48,4,Sep
569,"Till the time you are alive, be happy and celebrate your life",2022-09-12,2842,303,4,Sep
570,Reduce your radiation time,2022-09-11,1018,98,5,Sep
571,Guava garden in Qudsia Bagh,2022-09-10,232669,12868,57,Sep
572,Don't travel when other people are traveling,2022-09-09,1145,84,7,Sep
573,"To be better socially, learn to be happy being alone",2022-09-07,926,88,10,Sep
574,"Without human disturbance, every place is good",2022-09-04,6339,577,19,Sep
575,Why temples and ashrams are very good for planting trees,2022-09-03,1239,95,7,Sep
576,Celebrate an ecofriendly Ganesh Chaturthi,2022-09-02,2022,244,11,Sep
577,Why should gardening be made compulsory in schools and colleges?,2022-09-01,962,97,11,Sep
578,"If you want to understand the Indian economy, visit the villages of India",2022-08-30,999,83,7,Aug
579,Where is our studio?,2022-08-29,2967,304,8,Aug
580,Where is Peepal Baba's hometown?,2022-08-28,1271,82,11,Aug
581,"Grow your own Peepal trees at home, instead of buying them from nurseries",2022-08-27,7834,252,17,Aug
582,Plant lemongrass to get rid of flies and mosquitoes,2022-08-26,3211,119,4,Aug
583,This is why we should not feed birds,2022-08-25,346597,17313,353,Aug
584,How random reading can expand your perspective on life,2022-08-24,688,69,5,Aug
585,The importance of beekeeping,2022-08-22,1006,83,7,Aug
586,What ultimately matters in life?,2022-08-20,1312,117,8,Aug
587,Collect seeds from roads and make tree saplings at home,2022-08-18,1665,123,16,Aug
588,How cows can keep your soil healthy,2022-08-17,6267,542,3,Aug
589,Don't just rely on sleep for rest,2022-08-16,1079,88,8,Aug
590,Setting vegetation and trees on fire is one way to encroach land,2022-08-15,4508,494,10,Aug
591,What is the biggest crisis India will face in the next 2 years?,2022-08-14,1799,161,14,Aug
592,How to extract plants with the help of scissors,2022-08-13,5608315,140181,607,Aug
593,Read NCERT books for competitive exams,2022-08-12,465,50,1,Aug
594,How to use sawdust in tree planting?,2022-08-12,7135,449,5,Aug
595,The best flowering plants for bio-fencing,2022-08-11,19608,334,15,Aug
596,Nothing is permanent except friendships,2022-08-09,531,35,4,Aug
597,Does yoga mean only doing physical asanas?,2022-08-07,426,37,3,Aug
598,How to make your children fearless?,2022-08-06,1371,84,5,Aug
599,Which tree species should be planted in the mountains?,2022-08-05,889,65,6,Aug
600,Age old health remedies - Jaljeera and Gol gappa water,2022-08-03,711,58,10,Aug
601,Why sugarcane production is causing water shortage in India,2022-08-01,873,59,7,Aug
602,Focusing on women education can transform the whole family,2022-07-30,398,36,7,Jul
603,Do experiments with plants,2022-07-29,5862,592,8,Jul
604,"Planning to save the environment is good, but are we also implementing it?",2022-07-28,725,71,8,Jul
605,Don't feed birds and try to redesign their diet,2022-07-26,2010,152,15,Jul
606,Paratha and Chai,2022-07-26,3740,299,13,Jul
607,Spend maximum time on your plantation sites and make notes,2022-07-24,1028,85,3,Jul
608,Is attending a great university the only way to be successful in life?,2022-07-22,776,62,6,Jul
609,The correct way to prune your trees,2022-07-20,2557,162,9,Jul
610,What is Peepal Baba's personal income?,2022-07-18,16738,977,69,Jul
611,Why do indoor plants kept under AC and fan die?,2022-07-17,2748,109,12,Jul
612,"Urbanization is not bad, if it is for health and happiness",2022-07-16,464,41,3,Jul
613,"Use native seeds, not hybrid ones",2022-07-14,1369,97,7,Jul
614,You are as good as your team is,2022-07-12,474,48,3,Jul
615,How to develop your child's interest in environment?,2022-07-10,1243,118,7,Jul
616,Are brown bread and brown sugar healthy?,2022-07-08,1018,61,9,Jul
617,"If the problem of human encroachment is solved, no one needs to plant trees",2022-07-06,1190,80,8,Jul
618,"Along with adding things, learn to delete as well",2022-07-04,907,67,8,Jul
619,Plant Aloe vera as a companion plant,2022-07-02,4353,198,11,Jul
620,Consult a doctor instead of relying on WhatsApp forwards,2022-06-30,660,33,4,Jun
621,This is what we should do with the leaves fallen on the ground,2022-06-28,1967,91,10,Jun
622,"25,000 days of life - how do you choose to spend them?",2022-06-26,1719,140,18,Jun
623,"Minimize your screen time, maximize your green time",2022-06-24,1157,92,16,Jun
624,Bring books to parks,2022-06-22,1321,78,5,Jun
625,How to handle tough situations in life?,2022-06-20,918,88,12,Jun
626,The beauty of male female friendships,2022-06-18,2391,128,9,Jun
627,"The importance of termites, and how to protect your plants from excessive termites",2022-06-16,2762,104,11,Jun
628,@givemetreestrust is about spreading happiness,2022-06-14,888,60,5,Jun
629,Why solo traveling is an enriching experience,2022-06-12,1386,113,12,Jun
630,How many Peepal trees should be planted in 1 acre of land?,2022-06-10,3366,159,7,Jun
631,Get into a habit of writing,2022-06-08,1092,75,6,Jun
632,What are the benefits of Golden Bamboo?,2022-06-06,7827,179,14,Jun
633,Create your own life story | Peepal Baba,2022-06-04,2359,159,12,Jun
634,Why ground should not always be paved with concrete and cement,2022-06-02,1314,130,14,Jun
635,Implement Swachhta Abhiyan in your personal life,2022-05-30,1045,69,11,May
636,"Why do plants die in summers, in spite of watering?",2022-05-28,4232,214,10,May
637,How we can help the government in the maintenance of planted saplings,2022-05-26,1349,136,18,May
638,Create micro ponds to collect rainwater,2022-05-24,6211,274,17,May
639,Plant shade trees in parks to keep the surroundings cooler,2022-05-22,4249,175,9,May
640,Do not let plastic plastic leave your house,2022-05-20,1449,100,29,May
641,Good people attract good people,2022-05-19,989,81,7,May
642,"My collection of books, stamps and other items",2022-05-18,1289,79,9,May
643,"Ayurveda is the main method of treatment, not an alternative method",2022-05-16,691,65,12,May
644,"Nature is silent, people are noisy",2022-05-13,1294,120,14,May
645,The reason for forest fires in Uttarakhand,2022-05-11,1065,113,17,May
646,The importance of making lists,2022-05-10,1002,78,6,May
647,Do something for animals | Peepal Baba,2022-05-08,1179,105,13,May
648,Why serving in the forces should be compulsory,2022-05-06,853,69,12,May
649,Why should we make it a ritual to clean our bags?,2022-05-04,913,49,4,May
650,What is the purpose of life?,2022-05-02,1854,135,9,May
651,Soil biologist as a career option,2022-04-30,999,83,9,Apr
652,Why Peepal Baba would love to travel to Ukraine,2022-04-29,847,64,4,Apr
653,Why we should not feed flour to ants,2022-04-28,3561,146,19,Apr
654,Exercise is the best medicine,2022-04-26,1140,93,13,Apr
655,How @givemetreestrust uses the donations it receives,2022-04-24,1671,111,9,Apr
656,Pets and their hair,2022-04-22,866,70,3,Apr
657,Is listening to music while studying or working a good idea?,2022-04-20,666,36,3,Apr
